"AGE","MALE","IN_LABOR_FORCE","HSTOCKS","MARRIED","AGE_18_34","AGE_35_44","AGE_45_54","AGE_55_64","AGE_64_75","AGE_75_plus","RACE_white_non_hispanic","RACE_black_african_american","RACE_hispanic","RACE_other","LTHRIFT","LIRAKH","LINCOME","KNOWL","FINLIT","KNOWL_FINLIT","EDCL_no_HS","EDCL_HS_GED","EDCL_some_college","EDCL_college_degree"
70,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,12.4090134895269,10.5662975405641,0,0,0,0,0,1,0
70,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,12.083905011556,10.5522720652051,0,0,0,0,0,1,0
70,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,12.0435537160324,10.494116145056,0,0,0,0,0,1,0
70,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,10.6454248972655,10.4195474495515,0,0,0,0,0,1,0
70,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,10.2035921449865,10.4790329028397,0,0,0,0,0,1,0
46,1,1,0,0,0,0,1,0,0,0,1,0,0,0,-4.60517018598809,11.5129254649702,12.3230983247757,1,1,1,0,0,0,1
46,1,1,0,0,0,0,1,0,0,0,1,0,0,0,-4.60517018598809,11.5129254649702,12.3230983247757,1,1,1,0,0,0,1
46,1,1,0,0,0,0,1,0,0,0,1,0,0,0,-4.60517018598809,11.5129254649702,12.3230983247757,1,1,1,0,0,0,1
46,1,1,0,0,0,0,1,0,0,0,1,0,0,0,-4.60517018598809,11.5129254649702,12.3230983247757,1,1,1,0,0,0,1
46,1,1,0,0,0,0,1,0,0,0,1,0,0,0,-4.60517018598809,11.5129254649702,12.3230983247757,1,1,1,0,0,0,1
68,1,0,1,1,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,13.0368054890427,13.0065835944118,1,1,1,0,0,0,1
68,1,0,1,1,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,13.3847276418718,13.0423442583026,1,1,1,0,0,0,1
68,1,0,1,1,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,13.4531049393166,13.0586047791625,1,1,1,0,0,0,1
68,1,0,1,1,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,12.9899741893586,13.0041534595667,1,1,1,0,0,0,1
68,1,0,1,1,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,12.2209612580239,13.1275976506636,1,1,1,0,0,0,1
74,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,14.2203087770847,11.9343201354185,0,1,0,0,0,0,1
74,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,14.224967687342,11.9128139302032,0,1,0,0,0,0,1
74,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,14.2209756660724,11.8908350234904,0,1,0,0,0,0,1
74,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,14.2209756660724,11.8908350234904,0,1,0,0,0,0,1
74,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,14.2209756660724,11.8834000450279,0,1,0,0,0,0,1
19,0,1,0,1,1,0,0,0,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.9368039636558,0,0,0,0,1,0,0
19,0,1,0,1,1,0,0,0,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.9745442916334,0,0,0,0,1,0,0
19,0,1,0,1,1,0,0,0,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,11.0286115129046,0,0,0,0,1,0,0
